"Tema","Indicador","Temporalidad","En_razon","Sentido","Descripción","Fuente","Unidad_medida"
"Seguridad Pública","Extorsión","Mensual","Si_1000","Menos es mejor","Casos de extorsión registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Feminicidios","Mensual","Si_1000","Menos es mejor","Casos de feminicidios registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Homicidios","Mensual","Si_1000","Menos es mejor","Casos de homicidios (doloso y culposo) registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Incidencia delictiva","Mensual","Si_1000","Menos es mejor","Total de delitos registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Indice de Paz","Anual","No","Más es mejor","Panorama del nivel de paz en las entidades federativa de México","Institute Economics & Peace","Índice"
"Seguridad Pública","Lesiones","Mensual","Si_1000","Menos es mejor","Casos de lesiones registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Mortalidad Defunciones registradas en Accidentes de Tránsito","Anual","Si_1000","Menos es mejor","Número de muertes causadas por accidente de tránsito","INEGI","Número de muertos"
"Seguridad Pública","Narcomenudeo","Mensual","Si_1000","Menos es mejor","Casos de homicidios registrados a traves de Carpetas de Investigación","Secretariado Ejecutivo del Sistema Nacional de Seguridad Pública SESNSP","Delito"
"Seguridad Pública","Número de Accidentes de tránsito","Anual","No","Menos es mejor","Información sobre el número de accidentes de tránsito terrestre registrados por los gobiernos municipales, así como el total de víctimas muertas en el lugar del accidente y heridas con lesiones leves y/o graves.","INEGI","Número de accidentes"
"Seguridad Pública","Percepcion sobre Seguridad Publica Inseguro","Anual","No","Menos es mejor","Percepción de la población de 18 años y más respecto de la situación que guarda la seguridad pública (seguro) en su entidad federativa.","INEGI. Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública (ENVIPE)","Porcentaje"
"Seguridad Pública","Percepcion sobre Seguridad Publica Seguro","Anual","No","Menos es mejor","Percepción de la población de 18 años y más respecto de la situación que guarda la seguridad pública (inseguro) en su entidad federativa.","INEGI. Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública (ENVIPE)","Porcentaje"
