"Tema","Entidad","Indicador","link.de.consulta","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Económico","Baja California","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",37941499877737,305552518686392,295508965571918,NA,NA,NA,NA,NA,NA
"Económico","Baja California Sur","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",179898034331322,121486902549903,119894965086039,NA,NA,NA,NA,NA,NA
"Económico","Campeche","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",182353825798812,586017262969497,585404709391791,NA,NA,NA,NA,NA,NA
"Económico","Coahuila de Zaragoza","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",564158858846822,482807418664734,482969044823925,NA,NA,NA,NA,NA,NA
"Económico","Colima","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",314139878033518,319473884047807,298513329569586,NA,NA,NA,NA,NA,NA
"Económico","Chiapas","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",569872039788081,635276708664873,632543924078509,NA,NA,NA,NA,NA,NA
"Económico","Chihuahua","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",920859598940621,715271970179824,703337494320769,NA,NA,NA,NA,NA,NA
"Económico","Ciudad de México","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",245560948846876,239736382702911,237085228993737,NA,NA,NA,NA,NA,NA
"Económico","Durango","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",30100918291151,318094131862011,312595831760009,NA,NA,NA,NA,NA,NA
"Económico","Guanajuato","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",891396612653667,811545529715591,788156630635573,NA,NA,NA,NA,NA,NA
"Económico","Guerrero","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",194293752960069,197594776396015,154832507470061,NA,NA,NA,NA,NA,NA
"Económico","Hidalgo","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",179637507293601,15081277419228,148703037693983,NA,NA,NA,NA,NA,NA
"Económico","Jalisco","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",223030543751885,192948374525471,186727254554527,NA,NA,NA,NA,NA,NA
"Económico","México","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",254382892574727,256861388983741,268825929963107,NA,NA,NA,NA,NA,NA
"Económico","Michoacán de Ocampo","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",463317547084591,391834822852641,384098758219233,NA,NA,NA,NA,NA,NA
"Económico","Morelos","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",26036831162796,257952065614354,25431066391509,NA,NA,NA,NA,NA,NA
"Económico","Nayarit","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",479276507236058,423257432076125,43848566892593,NA,NA,NA,NA,NA,NA
"Económico","Nuevo León","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",514609317728401,496734464737148,490733988289429,NA,NA,NA,NA,NA,NA
"Económico","Oaxaca","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",408924973483018,507746676709727,489656681970947,NA,NA,NA,NA,NA,NA
"Económico","Puebla","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",130740960094565,101210616180065,998422487262148,NA,NA,NA,NA,NA,NA
"Económico","Querétaro","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",238839832326921,141726553442371,137088627252091,NA,NA,NA,NA,NA,NA
"Económico","Quintana Roo","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",74928265191415,679511001736948,685577345829304,NA,NA,NA,NA,NA,NA
"Económico","San Luis Potosí","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",109467515005286,898850634913298,908669822158254,NA,NA,NA,NA,NA,NA
"Económico","Sinaloa","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",174345541650651,158664055984576,158664055984576,NA,NA,NA,NA,NA,NA
"Económico","Sonora","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",515766474361869,415453429871363,403218597844678,NA,NA,NA,NA,NA,NA
"Económico","Tabasco","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",867643675378084,102258118103949,101738423341282,NA,NA,NA,NA,NA,NA
"Económico","Tamaulipas","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",223357527561432,217644653695868,243491464077988,NA,NA,NA,NA,NA,NA
"Económico","Tlaxcala","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",0,309816062048518,549216124911454,NA,NA,NA,NA,NA,NA
"Económico","Veracruz de Ignacio de la Llave","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",493141360921858,502358817380434,49700481527223,NA,NA,NA,NA,NA,NA
"Económico","Yucatán","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",145144268912943,121982452804976,120906955182598,NA,NA,NA,NA,NA,NA
"Económico","Zacatecas","Deuda Pública (Porcentaje del PIB)","https://mexicocomovamos.mx/datos/",393662246053772,44403499879455,408571817113932,NA,NA,NA,NA,NA,NA
"Económico","Aguascalientes","Ganado Bovino. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,3672907205,3715224578,3977412658,NA
"Económico","Baja California","Ganado Bovino. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,6983032789,7125844339,6041750106,NA
"Económico","Baja California Sur","Ganado Bovino. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,351877425,375901032,396660613,NA
"Económico","Campeche","Ganado Bovino. Valor de la Producción (miles de pesos)","https://nube.agricultura.gob.mx/cierre_agricola/",NA,NA,NA,NA,NA,1426164355,1551183721,169721318,NA
